Financial Year,Gender of the Adult,Age band of the Adult,Disability Status of the Adult (dis),"Employment Status of the Adult (high level breakdowns) (emp, ftpt)",Government office region of the Household in the United Kingdom,"Adult total, net Income received from all sources, in bands, in latest prices (weekly, CPI adjusted real terms) (colpall, cpi, dividend, inc, netinc, real, sc)",Count
2022-23,,,,,Northern Ireland (N92000002),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,821
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,2135
2022-23,,,,,,£400 - £499.99,1954
2022-23,,,,,,£500 or more,3310
2022-23,,,,Self-employed (setyp),North East (E12000001),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,1925
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,North West (E12000002),Less than £50,1520
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,801
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,1290
2022-23,,,,,,£500 or more,2554
2022-23,,,,,Yorkshire and The Humber (E12000003),Less than £50,1565
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,1652
2022-23,,,,,,£250 - £299.99,951
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,1347
2022-23,,,,,East Midlands (E12000004),Less than £50,..
2022-23,,,,,,£50 - £99.99,1635
2022-23,,,,,,£100 - £149.99,1335
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,3037
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,1641
2022-23,,,,,West Midlands (E12000005),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,4025
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,1900
2022-23,,,,,,£500 or more,798
2022-23,,,,,East (E12000006),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,2554
2022-23,,,,,,£400 - £499.99,1136
2022-23,,,,,,£500 or more,5034
2022-23,,,,,London (E12000007),Less than £50,..
2022-23,,,,,,£50 - £99.99,2864
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,11994
2022-23,,,,,South East (E12000008),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,2836
2022-23,,,,,,£400 - £499.99,1323
2022-23,,,,,,£500 or more,5194
2022-23,,,,,South West (E12000009),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,2322
2022-23,,,,,,£150 - £199.99,2283
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,2754
2022-23,,,,,,£400 - £499.99,3022
2022-23,,,,,,£500 or more,2353
2022-23,,,,,Wales (W92000004),Less than £50,..
2022-23,,,,,,£50 - £99.99,2962
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,1011
2022-23,,,,,Scotland (S92000003),Less than £50,..
2022-23,,,,,,£50 - £99.99,1242
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,4166
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,2296
2022-23,,,,,,£400 - £499.99,2909
2022-23,,,,,,£500 or more,..
2022-23,,,,,Northern Ireland (N92000002),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,678
2022-23,,,,,,£250 - £299.99,902
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,276
2022-23,,,,,,£500 or more,1177
2022-23,,,,Unemployed,North East (E12000001),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,812
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,North West (E12000002),Less than £50,1992
2022-23,,,,,,£50 - £99.99,3209
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,Yorkshire and The Humber (E12000003),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,1288
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,East Midlands (E12000004),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,West Midlands (E12000005),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,East (E12000006),Less than £50,..
2022-23,,,,,,£50 - £99.99,1160
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,London (E12000007),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,South East (E12000008),Less than £50,1115
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,South West (E12000009),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,1676
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,Wales (W92000004),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,Scotland (S92000003),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,1532
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,Northern Ireland (N92000002),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,Retired,North East (E12000001),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,North West (E12000002),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,Yorkshire and The Humber (E12000003),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,East Midlands (E12000004),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,West Midlands (E12000005),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,East (E12000006),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,London (E12000007),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,South East (E12000008),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,South West (E12000009),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,Wales (W92000004),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,Scotland (S92000003),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,Northern Ireland (N92000002),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,Other economically inactive (oei),North East (E12000001),Less than £50,1065
2022-23,,,,,,£50 - £99.99,1574
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,1125
2022-23,,,,,,£250 - £299.99,6368
2022-23,,,,,,£300 - £399.99,2201
2022-23,,,,,,£400 - £499.99,1068
2022-23,,,,,,£500 or more,..
2022-23,,,,,North West (E12000002),Less than £50,2324
2022-23,,,,,,£50 - £99.99,2737
2022-23,,,,,,£100 - £149.99,3657
2022-23,,,,,,£150 - £199.99,5282
2022-23,,,,,,£200 - £249.99,9768
2022-23,,,,,,£250 - £299.99,3324
2022-23,,,,,,£300 - £399.99,5371
2022-23,,,,,,£400 - £499.99,2103
2022-23,,,,,,£500 or more,..
2022-23,,,,,Yorkshire and The Humber (E12000003),Less than £50,..
2022-23,,,,,,£50 - £99.99,3394
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,5843
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,4355
2022-23,,,,,,£400 - £499.99,1088
2022-23,,,,,,£500 or more,2154
2022-23,,,,,East Midlands (E12000004),Less than £50,3672
2022-23,,,,,,£50 - £99.99,3234
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,3425
2022-23,,,,,,£300 - £399.99,1911
2022-23,,,,,,£400 - £499.99,1552
2022-23,,,,,,£500 or more,7021
2022-23,,,,,West Midlands (E12000005),Less than £50,2270
2022-23,,,,,,£50 - £99.99,1971
2022-23,,,,,,£100 - £149.99,21489
2022-23,,,,,,£150 - £199.99,2651
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,1699
2022-23,,,,,,£300 - £399.99,4836
2022-23,,,,,,£400 - £499.99,1898
2022-23,,,,,,£500 or more,..
2022-23,,,,,East (E12000006),Less than £50,1022
2022-23,,,,,,£50 - £99.99,2645
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,1128
2022-23,,,,,,£250 - £299.99,1471
2022-23,,,,,,£300 - £399.99,7596
2022-23,,,,,,£400 - £499.99,2899
2022-23,,,,,,£500 or more,..
2022-23,,,,,London (E12000007),Less than £50,7064
2022-23,,,,,,£50 - £99.99,2676
2022-23,,,,,,£100 - £149.99,2535
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,10401
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,South East (E12000008),Less than £50,3943
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,1161
2022-23,,,,,,£200 - £249.99,2456
2022-23,,,,,,£250 - £299.99,1385
2022-23,,,,,,£300 - £399.99,7612
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,South West (E12000009),Less than £50,2416
2022-23,,,,,,£50 - £99.99,1321
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,991
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,4395
2022-23,,,,,,£300 - £399.99,4490
2022-23,,,,,,£400 - £499.99,3293
2022-23,,,,,,£500 or more,..
2022-23,,,,,Wales (W92000004),Less than £50,3511
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,5168
2022-23,,,,,,£150 - £199.99,2354
2022-23,,,,,,£200 - £249.99,1844
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,1247
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,1250
2022-23,,,,,Scotland (S92000003),Less than £50,1170
2022-23,,,,,,£50 - £99.99,1809
2022-23,,,,,,£100 - £149.99,1744
2022-23,,,,,,£150 - £199.99,3301
2022-23,,,,,,£200 - £249.99,4698
2022-23,,,,,,£250 - £299.99,1472
2022-23,,,,,,£300 - £399.99,11292
2022-23,,,,,,£400 - £499.99,8245
2022-23,,,,,,£500 or more,..
2022-23,,,,,Northern Ireland (N92000002),Less than £50,275
2022-23,,,,,,£50 - £99.99,625
2022-23,,,,,,£100 - £149.99,550
2022-23,,,,,,£150 - £199.99,1925
2022-23,,,,,,£200 - £249.99,781
2022-23,,,,,,£250 - £299.99,1605
2022-23,,,,,,£300 - £399.99,1276
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,563
2022-23,,45 to 54,Not a disabled child / adult / person,Employee,North East (E12000001),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,754
2022-23,,,,,,£200 - £249.99,2562
2022-23,,,,,,£250 - £299.99,1929
2022-23,,,,,,£300 - £399.99,7000
2022-23,,,,,,£400 - £499.99,19773
2022-23,,,,,,£500 or more,48730
2022-23,,,,,North West (E12000002),Less than £50,2112
2022-23,,,,,,£50 - £99.99,945
2022-23,,,,,,£100 - £149.99,2504
2022-23,,,,,,£150 - £199.99,3067
2022-23,,,,,,£200 - £249.99,8552
2022-23,,,,,,£250 - £299.99,6300
2022-23,,,,,,£300 - £399.99,41651
2022-23,,,,,,£400 - £499.99,32445
2022-23,,,,,,£500 or more,139461
2022-23,,,,,Yorkshire and The Humber (E12000003),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,4083
2022-23,,,,,,£150 - £199.99,1983
2022-23,,,,,,£200 - £249.99,5953
2022-23,,,,,,£250 - £299.99,5095
2022-23,,,,,,£300 - £399.99,25067
2022-23,,,,,,£400 - £499.99,39135
2022-23,,,,,,£500 or more,130228
2022-23,,,,,East Midlands (E12000004),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,3230
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,5391
2022-23,,,,,,£250 - £299.99,3697
2022-23,,,,,,£300 - £399.99,21042
2022-23,,,,,,£400 - £499.99,29769
2022-23,,,,,,£500 or more,133875
2022-23,,,,,West Midlands (E12000005),Less than £50,2876
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,5431
2022-23,,,,,,£300 - £399.99,32960
2022-23,,,,,,£400 - £499.99,43781
2022-23,,,,,,£500 or more,113091
2022-23,,,,,East (E12000006),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,1399
2022-23,,,,,,£150 - £199.99,1392
2022-23,,,,,,£200 - £249.99,1141
2022-23,,,,,,£250 - £299.99,9576
2022-23,,,,,,£300 - £399.99,27813
2022-23,,,,,,£400 - £499.99,34942
2022-23,,,,,,£500 or more,179115
2022-23,,,,,London (E12000007),Less than £50,3984
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,5923
2022-23,,,,,,£150 - £199.99,8122
2022-23,,,,,,£200 - £249.99,8666
2022-23,,,,,,£250 - £299.99,3317
2022-23,,,,,,£300 - £399.99,26719
2022-23,,,,,,£400 - £499.99,29667
2022-23,,,,,,£500 or more,234188
2022-23,,,,,South East (E12000008),Less than £50,5553
2022-23,,,,,,£50 - £99.99,1446
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,3286
2022-23,,,,,,£200 - £249.99,5463
2022-23,,,,,,£250 - £299.99,8634
2022-23,,,,,,£300 - £399.99,16665
2022-23,,,,,,£400 - £499.99,46844
2022-23,,,,,,£500 or more,324906
2022-23,,,,,South West (E12000009),Less than £50,861
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,795
2022-23,,,,,,£150 - £199.99,920
2022-23,,,,,,£200 - £249.99,3464
2022-23,,,,,,£250 - £299.99,3126
2022-23,,,,,,£300 - £399.99,22224
2022-23,,,,,,£400 - £499.99,39590
2022-23,,,,,,£500 or more,131778
2022-23,,,,,Wales (W92000004),Less than £50,1036
2022-23,,,,,,£50 - £99.99,1893
2022-23,,,,,,£100 - £149.99,2630
2022-23,,,,,,£150 - £199.99,2294
2022-23,,,,,,£200 - £249.99,1017
2022-23,,,,,,£250 - £299.99,1102
2022-23,,,,,,£300 - £399.99,22138
2022-23,,,,,,£400 - £499.99,17912
2022-23,,,,,,£500 or more,54374
2022-23,,,,,Scotland (S92000003),Less than £50,4798
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,1291
2022-23,,,,,,£150 - £199.99,5626
2022-23,,,,,,£200 - £249.99,2820
2022-23,,,,,,£250 - £299.99,7988
2022-23,,,,,,£300 - £399.99,13590
2022-23,,,,,,£400 - £499.99,33508
2022-23,,,,,,£500 or more,122382
2022-23,,,,,Northern Ireland (N92000002),Less than £50,575
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,2073
2022-23,,,,,,£200 - £249.99,770
2022-23,,,,,,£250 - £299.99,1181
2022-23,,,,,,£300 - £399.99,14977
2022-23,,,,,,£400 - £499.99,14984
2022-23,,,,,,£500 or more,34850
2022-23,,,,Self-employed (setyp),North East (E12000001),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,1330
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,890
2022-23,,,,,,£300 - £399.99,1434
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,4141
2022-23,,,,,North West (E12000002),Less than £50,1325
2022-23,,,,,,£50 - £99.99,1296
2022-23,,,,,,£100 - £149.99,2820
2022-23,,,,,,£150 - £199.99,692
2022-23,,,,,,£200 - £249.99,2854
2022-23,,,,,,£250 - £299.99,12107
2022-23,,,,,,£300 - £399.99,4253
2022-23,,,,,,£400 - £499.99,3028
2022-23,,,,,,£500 or more,23421
2022-23,,,,,Yorkshire and The Humber (E12000003),Less than £50,1722
2022-23,,,,,,£50 - £99.99,1930
2022-23,,,,,,£100 - £149.99,1610
2022-23,,,,,,£150 - £199.99,4772
2022-23,,,,,,£200 - £249.99,4953
2022-23,,,,,,£250 - £299.99,1651
2022-23,,,,,,£300 - £399.99,7968
2022-23,,,,,,£400 - £499.99,2829
2022-23,,,,,,£500 or more,18871
2022-23,,,,,East Midlands (E12000004),Less than £50,2481
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,1001
2022-23,,,,,,£200 - £249.99,4084
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,1581
2022-23,,,,,,£400 - £499.99,3762
2022-23,,,,,,£500 or more,14074
2022-23,,,,,West Midlands (E12000005),Less than £50,3451
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,4384
2022-23,,,,,,£200 - £249.99,5120
2022-23,,,,,,£250 - £299.99,1159
2022-23,,,,,,£300 - £399.99,10285
2022-23,,,,,,£400 - £499.99,10514
2022-23,,,,,,£500 or more,20686
2022-23,,,,,East (E12000006),Less than £50,5361
2022-23,,,,,,£50 - £99.99,3379
2022-23,,,,,,£100 - £149.99,941
2022-23,,,,,,£150 - £199.99,5594
2022-23,,,,,,£200 - £249.99,1593
2022-23,,,,,,£250 - £299.99,2478
2022-23,,,,,,£300 - £399.99,5686
2022-23,,,,,,£400 - £499.99,4913
2022-23,,,,,,£500 or more,25183
2022-23,,,,,London (E12000007),Less than £50,5060
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,1740
2022-23,,,,,,£150 - £199.99,5013
2022-23,,,,,,£200 - £249.99,4934
2022-23,,,,,,£250 - £299.99,4570
2022-23,,,,,,£300 - £399.99,5382
2022-23,,,,,,£400 - £499.99,3457
2022-23,,,,,,£500 or more,50754
2022-23,,,,,South East (E12000008),Less than £50,5731
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,1040
2022-23,,,,,,£150 - £199.99,819
2022-23,,,,,,£200 - £249.99,1420
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,7001
2022-23,,,,,,£400 - £499.99,5693
2022-23,,,,,,£500 or more,21961
2022-23,,,,,South West (E12000009),Less than £50,1195
2022-23,,,,,,£50 - £99.99,3701
2022-23,,,,,,£100 - £149.99,2527
2022-23,,,,,,£150 - £199.99,7167
2022-23,,,,,,£200 - £249.99,2806
2022-23,,,,,,£250 - £299.99,1912
2022-23,,,,,,£300 - £399.99,9069
2022-23,,,,,,£400 - £499.99,12429
2022-23,,,,,,£500 or more,19571
2022-23,,,,,Wales (W92000004),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,3224
2022-23,,,,,,£150 - £199.99,..
