,,,,,,,"Financial Year","2022-23","2022-23 - RSE","2022-23 - Annotations",
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1735,0.00,,
,,,,"£150 - £199.99","Social renting","Working-age","No or none",1486,0.00,,
,,,,,,,"Yes",1069,0.00,,
,,,,,,,"Total",2555,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1486,0.00,,
,,,,,,,"Yes",1069,0.00,,
,,,,,,,"Total",2555,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",1976,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1976,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1976,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1976,0.00,,
,,,,,"Owned outright","Working-age","No or none",2943,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2943,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2943,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2943,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",5538,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5538,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",5538,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5538,0.00,,
,,,,,"Total","Working-age","No or none",11943,0.00,,
,,,,,,,"Yes",1069,0.00,,
,,,,,,,"Total",13012,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",11943,0.00,,
,,,,,,,"Yes",1069,0.00,,
,,,,,,,"Total",13012,0.00,,
,,,,"£200 - £249.99","Social renting","Working-age","No or none",1432,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1432,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1432,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1432,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Owned outright","Working-age","No or none",3580,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3580,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3580,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3580,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",4920,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",4920,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",4920,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",4920,0.00,,
,,,,,"Total","Working-age","No or none",9932,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",9932,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",9932,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",9932,0.00,,
,,,,"£250 - £299.99","Social renting","Working-age","No or none",1068,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1068,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1068,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1068,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",5071,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5071,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",5071,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5071,0.00,,
,,,,,"Owned outright","Working-age","No or none",3569,0.00,,
,,,,,,,"Yes",1085,0.00,,
,,,,,,,"Total",4654,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3569,0.00,,
,,,,,,,"Yes",1085,0.00,,
,,,,,,,"Total",4654,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",4520,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",4520,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",4520,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",4520,0.00,,
,,,,,"Total","Working-age","No or none",14228,0.00,,
,,,,,,,"Yes",1085,0.00,,
,,,,,,,"Total",15313,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
